Year;Scenario;Technology;Node_Type;Value;Country;Climate_Year;Unit_Name
2030;National Trends;PS Closed;Market;5,516761223;Switzerland;CY2008;TWh
2030;National Trends;PS Closed;Market;5,516761223;Switzerland;CY2009;TWh
2030;National Trends;PS Closed;Market;1,279795244;Turkey;CY1995;TWh
2030;National Trends;PS Closed;Market;1,279795244;Turkey;CY2008;TWh
2030;National Trends;PS Closed;Market;1,279795244;Turkey;CY2009;TWh
2030;National Trends;PS Closed;Market;7,839091707;UK;CY1995;TWh
2030;National Trends;PS Closed;Market;7,839091707;UK;CY2008;TWh
2030;National Trends;PS Closed;Market;7,839091707;UK;CY2009;TWh
2030;National Trends;PS Closed;Market;3,629414324;Ukraine;CY1995;TWh
2030;National Trends;PS Closed;Market;3,629414324;Ukraine;CY2008;TWh
2030;National Trends;PS Closed;Market;3,629414324;Ukraine;CY2009;TWh
2030;National Trends;PS Open;Market;13,65150718;Austria;CY1995;TWh
2030;National Trends;PS Open;Market;13,65150718;Austria;CY2008;TWh
2030;National Trends;PS Open;Market;13,65150718;Austria;CY2009;TWh
2030;National Trends;PS Open;Market;0,640751822;Bosnia and Herzegovina;CY1995;TWh
2030;National Trends;PS Open;Market;0,640751822;Bosnia and Herzegovina;CY2008;TWh
2030;National Trends;PS Open;Market;0,640751822;Bosnia and Herzegovina;CY2009;TWh
2030;National Trends;PS Open;Market;0,174431787;Bulgaria;CY1995;TWh
2030;National Trends;PS Open;Market;0,174431787;Bulgaria;CY2008;TWh
2030;National Trends;PS Open;Market;0,174431787;Bulgaria;CY2009;TWh
2030;National Trends;PS Open;Market;0,360277992;Croatia;CY1995;TWh
2030;National Trends;PS Open;Market;0,360277992;Croatia;CY2008;TWh
2030;National Trends;PS Open;Market;0,360277992;Croatia;CY2009;TWh
2030;National Trends;PS Open;Market;1,258086967;Czech Republic;CY1995;TWh
2030;National Trends;PS Open;Market;1,258086967;Czech Republic;CY2008;TWh
2030;National Trends;PS Open;Market;1,258086967;Czech Republic;CY2009;TWh
2030;National Trends;PS Open;Market;7,352057521;France;CY1995;TWh
2030;National Trends;PS Open;Market;7,352057521;France;CY2008;TWh
2030;National Trends;PS Open;Market;7,352057521;France;CY2009;TWh
2030;National Trends;PS Open;Market;5,192526213;Germany;CY1995;TWh
2030;National Trends;PS Open;Market;5,192526213;Germany;CY2008;TWh
2030;National Trends;PS Open;Market;5,192526213;Germany;CY2009;TWh
2030;National Trends;PS Open;Market;0,793699975;Greece;CY1995;TWh
2030;National Trends;PS Open;Market;0,793699975;Greece;CY2008;TWh
2030;National Trends;PS Open;Market;0,793699975;Greece;CY2009;TWh
2030;National Trends;PS Open;Market;4,164057739;Italy;CY1995;TWh
2030;National Trends;PS Open;Market;4,164057739;Italy;CY2008;TWh
2030;National Trends;PS Open;Market;4,164057739;Italy;CY2009;TWh
2030;National Trends;PS Open;Market;0,833060682;Norway;CY1995;TWh
2030;National Trends;PS Open;Market;0,833060682;Norway;CY2008;TWh
2030;National Trends;PS Open;Market;0,833060682;Norway;CY2009;TWh
2030;National Trends;PS Open;Market;0,339056549;Poland;CY1995;TWh
2030;National Trends;PS Open;Market;0,339056549;Poland;CY2008;TWh
2030;National Trends;PS Open;Market;0,339056549;Poland;CY2009;TWh
2030;National Trends;PS Open;Market;14,34288971;Portugal;CY1995;TWh
2030;National Trends;PS Open;Market;14,34288971;Portugal;CY2008;TWh
2030;National Trends;PS Open;Market;14,34288971;Portugal;CY2009;TWh
2030;National Trends;PS Open;Market;0,152870295;Romania;CY1995;TWh
2030;National Trends;PS Open;Market;0,152870295;Romania;CY2008;TWh
2030;National Trends;PS Open;Market;0,152870295;Romania;CY2009;TWh
2030;National Trends;PS Open;Market;0,193103268;Slovakia;CY1995;TWh
2030;National Trends;PS Open;Market;0,193103268;Slovakia;CY2008;TWh
